,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,Ecology_2_bin,Ecology_3_bin,Shops_2_bin,DistrictSize,IsDistrictLarge,MedPriceByDistrict
0,35,2.0,47.981561235175036,29.44275054713416,6.0,7,9.0,1969.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,184966.9307298416,1,1,1,20,0,203384.32802587762
1,35,2.0,43.32581674574812,22.487877141686006,6.0,7,14.0,1969.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,194175.39511126454,1,1,1,20,0,203384.32802587762
2,35,2.0,48.24977945215332,29.47363265284853,6.0,3,9.0,1971.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,181020.1205266476,1,1,1,20,0,203384.32802587762
3,35,2.0,49.98628083671446,29.976601426316567,6.0,9,9.0,1970.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,212745.17480758688,1,1,1,20,0,203384.32802587762
4,35,2.0,48.58862006816629,29.03123170647195,6.0,12,12.0,1975.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,212187.94364649086,1,1,1,20,0,203384.32802587762
5,35,2.0,45.51172537032875,30.708154486576664,6.0,5,12.0,1975.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,235371.6213151476,1,1,1,20,0,203384.32802587762
6,35,2.0,46.76017688460839,29.82914715605585,6.0,4,9.0,1974.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,203384.32802587762,1,1,1,20,0,203384.32802587762
7,35,2.0,47.86454351976565,27.331654065516982,6.0,2,9.0,1970.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,194443.06720451696,1,1,1,20,0,203384.32802587762
8,35,2.0,54.2459764861185,33.76174581009113,8.0,19,22.0,1985.0,0.089039719,B,B,33,7976,5,990.0,0,11,B,249587.62857450655,1,1,1,20,0,203384.32802587762
9,58,2.0,53.352981355613345,52.73151204863503,9.0,8,17.0,1977.0,0.43788524,B,B,23,5735,3,1084.0,0,5,B,175616.22721724625,1,1,1,146,1,169246.115943342
10,58,2.0,59.69033419766729,38.68379218403287,8.0,15,14.0,2002.0,0.31019913,B,B,11,2748,1,990.0,0,0,B,209803.10887293308,1,1,1,146,1,169246.115943342
11,58,2.0,72.39398269695008,32.20642999342815,6.0,13,1.0,1977.0,0.43788524,B,B,23,5735,3,1084.0,0,5,B,240510.69684622844,1,1,1,146,1,169246.115943342
12,58,2.0,49.92279862818755,29.31653561695973,6.0,3,9.0,1969.0,0.14890389099999998,B,B,9,1952,1,1430.0,3,2,B,87476.30182977197,1,1,1,146,1,169246.115943342
13,58,2.0,51.99379978491047,30.902830130537676,6.0,8,9.0,1968.0,0.31019913,B,B,11,2748,1,990.0,0,0,B,168086.30492747654,1,1,1,146,1,169246.115943342
14,58,2.0,65.94246060290706,32.20642999342815,6.0,14,17.0,1977.0,0.43788524,B,B,23,5735,3,1084.0,0,5,B,165456.50471713053,1,1,1,146,1,169246.115943342
15,58,2.0,66.54593112105918,63.2118777492068,6.0,3,17.0,2015.0,0.43788524,B,B,23,5735,3,1084.0,0,5,B,149632.48257325907,1,1,1,146,1,169246.115943342
16,58,2.0,45.268221484970645,30.71190071478486,6.0,1,12.0,1973.0,0.31019913,B,B,11,2748,1,990.0,0,0,B,88295.67736026115,1,1,1,146,1,169246.115943342
17,58,2.0,49.87163719238979,31.127614709341717,6.0,3,9.0,1969.0,0.14890389099999998,B,B,9,1952,1,1430.0,3,2,B,152555.76054157945,1,1,1,146,1,169246.115943342
